Id,Creation Time,Owner,Tags,Running Time,logs/smape (average),logs/company,logs/imputation,logs/seed
EX5-90,2021-08-04 18:42:18,mavantwout,"[""20-step-ahead"",""time-lag"",""quarterly"",""7D-prediction"",""seed1"",""20-predictions"",""single_run"",""4-year""]",98.056,0.015102474773043297,MSFT,forwardfill,1
EX5-89,2021-08-04 18:42:09,mavantwout,"[""7D-prediction"",""presence"",""20-step-ahead"",""single_run"",""4-year"",""seed4"",""quarterly"",""20-predictions""]",96.741,0.031082931494571253,MSFT,globalmean,4
EX5-88,2021-08-04 18:42:08,mavantwout,"[""single_run"",""seed1"",""20-predictions"",""presence"",""quarterly"",""7D-prediction"",""4-year"",""20-step-ahead""]",101.874,0.0420885417403453,MSFT,cubicfit260,1
EX5-87,2021-08-04 18:41:49,mavantwout,"[""4-year"",""20-predictions"",""single_run"",""seed0"",""time-lag"",""20-step-ahead"",""7D-prediction"",""quarterly""]",81.696,0.023655053044831467,MSFT,meanlast260,0
EX5-85,2021-08-04 18:40:50,mavantwout,"[""7D-prediction"",""single_run"",""4-year"",""20-step-ahead"",""20-predictions"",""quarterly"",""presence"",""seed1""]",98.176,0.018696141020857225,MSFT,linearfit260,1
EX5-84,2021-08-04 18:40:50,mavantwout,"[""7D-prediction"",""4-year"",""quarterly"",""presence"",""seed1"",""single_run"",""20-predictions"",""20-step-ahead""]",106.121,0.030939976055799755,MSFT,meanlast260,1
EX5-83,2021-08-04 18:40:48,mavantwout,"[""20-predictions"",""7D-prediction"",""quarterly"",""20-step-ahead"",""time-lag"",""4-year"",""seed0"",""single_run""]",101.783,0.030202498784343612,MSFT,globalmean,0
EX5-82,2021-08-04 18:40:40,mavantwout,"[""20-step-ahead"",""time-lag"",""quarterly"",""7D-prediction"",""20-predictions"",""seed0"",""single_run"",""4-year""]",96.661,0.019342153935241024,MSFT,forwardfill,0
EX5-81,2021-08-04 18:40:31,mavantwout,"[""7D-prediction"",""presence"",""20-step-ahead"",""single_run"",""4-year"",""seed3"",""quarterly"",""20-predictions""]",96.615,0.013001832641570362,MSFT,globalmean,3
EX5-80,2021-08-04 18:40:15,mavantwout,"[""single_run"",""20-predictions"",""presence"",""quarterly"",""seed0"",""7D-prediction"",""4-year"",""20-step-ahead""]",111.542,0.017676555770577394,MSFT,cubicfit260,0
EX5-79,2021-08-04 18:40:15,mavantwout,"[""4-year"",""20-predictions"",""20-step-ahead"",""seed4"",""single_run"",""7D-prediction"",""quarterly"",""presence""]",79.18,0.018908180300770048,MSFT,forwardfill,4
EX5-77,2021-08-04 18:39:02,mavantwout,"[""seed0"",""7D-prediction"",""single_run"",""4-year"",""20-step-ahead"",""20-predictions"",""quarterly"",""presence""]",102.601,0.016488553638149904,MSFT,linearfit260,0
EX5-76,2021-08-04 18:38:58,mavantwout,"[""7D-prediction"",""4-year"",""quarterly"",""presence"",""seed0"",""single_run"",""20-predictions"",""20-step-ahead""]",111.465,0.02839721358210584,MSFT,meanlast260,0
EX5-75,2021-08-04 18:38:55,mavantwout,"[""7D-prediction"",""presence"",""20-step-ahead"",""seed2"",""single_run"",""4-year"",""quarterly"",""20-predictions""]",96.209,0.024246219975613,MSFT,globalmean,2
EX5-74,2021-08-04 18:38:53,mavantwout,"[""4-year"",""20-predictions"",""20-step-ahead"",""single_run"",""seed3"",""7D-prediction"",""quarterly"",""presence""]",81.398,0.0169895360145667,MSFT,forwardfill,3
EX5-71,2021-08-04 18:37:30,mavantwout,"[""4-year"",""20-predictions"",""seed2"",""20-step-ahead"",""single_run"",""7D-prediction"",""quarterly"",""presence""]",82.367,0.02131855837236716,MSFT,forwardfill,2
EX5-70,2021-08-04 18:37:17,mavantwout,"[""7D-prediction"",""presence"",""seed1"",""20-step-ahead"",""single_run"",""4-year"",""quarterly"",""20-predictions""]",97.362,0.04383035396401315,MSFT,globalmean,1
EX5-67,2021-08-04 18:36:09,mavantwout,"[""4-year"",""20-predictions"",""20-step-ahead"",""single_run"",""7D-prediction"",""quarterly"",""presence"",""seed1""]",81.193,0.017031048966634967,MSFT,forwardfill,1
EX5-66,2021-08-04 18:35:33,mavantwout,"[""7D-prediction"",""presence"",""seed0"",""20-step-ahead"",""single_run"",""4-year"",""quarterly"",""20-predictions""]",102.713,0.029760697696357696,MSFT,globalmean,0
EX5-63,2021-08-04 18:34:32,mavantwout,"[""4-year"",""20-predictions"",""20-step-ahead"",""seed0"",""single_run"",""7D-prediction"",""quarterly"",""presence""]",96.451,0.015445150998288925,MSFT,forwardfill,0
EX5-60,2021-08-04 15:06:44,mavantwout,"[""4-year"",""7D-prediction"",""presence"",""20-predictions"",""seed4"",""single_run"",""quarterly"",""20-step-ahead""]",1196.358,0.010232210627290867,AAPL,linearfit260,4
EX5-59,2021-08-04 15:05:36,mavantwout,"[""seed4"",""20-step-ahead"",""time-lag"",""7D-prediction"",""quarterly"",""20-predictions"",""4-year"",""single_run""]",1116.23,0.03234839445977368,AAPL,cubicfit260,4
